timestamp,rssi,seqno,s1x,s1y,s1z,s2x,s2y,s2z,s3x,s3y,s3z,s4x,s4y,s4z,s5x,s5y,s5z,gateway,true_room,activity
2017-08-01 15:13:27.766800,-96,8939214,-0.3125,-0.8125,-0.34375,-0.3125,-0.8125,-0.34375,-0.28125,-0.84375,-0.375,-0.28125,-0.78125,-0.34375,-0.3125,-0.78125,-0.375,stairs,bedroom,lying
2017-08-01 15:13:27.771700,-87,8939214,-0.3125,-0.8125,-0.34375,-0.3125,-0.8125,-0.34375,-0.28125,-0.84375,-0.375,-0.28125,-0.78125,-0.34375,-0.3125,-0.78125,-0.375,living,bedroom,lying
2017-08-01 15:13:27.804900,-67,8939214,-0.3125,-0.8125,-0.34375,-0.3125,-0.8125,-0.34375,-0.28125,-0.84375,-0.375,-0.28125,-0.78125,-0.34375,-0.3125,-0.78125,-0.375,bedroom,bedroom,lying
2017-08-01 15:13:27.971000,-81,8939215,-0.3125,-0.78125,-0.375,-0.3125,-0.78125,-0.3125,-0.1875,-0.8125,-0.34375,-0.15625,-0.75,-0.375,-0.1875,-0.625,-0.3125,stairs,bedroom,lying
2017-08-01 15:13:27.975800,-80,8939215,-0.3125,-0.78125,-0.375,-0.3125,-0.78125,-0.3125,-0.1875,-0.8125,-0.34375,-0.15625,-0.75,-0.375,-0.1875,-0.625,-0.3125,living,bedroom,lying
2017-08-01 15:13:28.169200,-83,8939216,-0.1875,-0.5625,-0.21875,-0.21875,-0.5,-0.09375,-0.34375,-0.46875,0.25,-0.46875,-0.4375,0.53125,-0.5625,-0.21875,0.65625,stairs,bedroom,lying
2017-08-01 15:13:28.207700,-72,8939216,-0.1875,-0.5625,-0.21875,-0.21875,-0.5,-0.09375,-0.34375,-0.46875,0.25,-0.46875,-0.4375,0.53125,-0.5625,-0.21875,0.65625,bedroom,bedroom,lying
2017-08-01 15:13:28.381300,-83,8939217,-0.8125,0.0,1.03125,-1.625,-0.125,1.375,-0.6875,-0.15625,1.21875,0.125,0.21875,1.1875,-0.375,0.28125,1.0625,living,bedroom,lying
2017-08-01 15:13:28.410100,-90,8939217,-0.8125,0.0,1.03125,-1.625,-0.125,1.375,-0.6875,-0.15625,1.21875,0.125,0.21875,1.1875,-0.375,0.28125,1.0625,bedroom,bedroom,lying
2017-08-01 15:13:28.619100,-85,8939218,-0.46875,0.40625,1.28125,-0.3125,0.03125,1.125,-0.21875,-0.15625,1.0,-0.1875,0.0,0.9375,-0.21875,-0.15625,0.8125,bedroom,bedroom,lying
