timestamp,rssi,s1x,s1y,s1z,s2x,s2y,s2z,s3x,s3y,s3z,s4x,s4y,s4z,s5x,s5y,s5z,Gateway,localisation,activity
2017-08-01 15:13:27.766800,-96,-0.3125,-0.8125,-0.34375,-0.3125,-0.8125,-0.34375,-0.28125,-0.84375,-0.375,-0.28125,-0.78125,-0.34375,-0.3125,-0.78125,-0.375,custom,bedroom,lying
2017-08-01 15:13:27.771700,-87,-0.3125,-0.8125,-0.34375,-0.3125,-0.8125,-0.34375,-0.28125,-0.84375,-0.375,-0.28125,-0.78125,-0.34375,-0.3125,-0.78125,-0.375,living,bedroom,lying
2017-08-01 15:13:27.804900,-67,-0.3125,-0.8125,-0.34375,-0.3125,-0.8125,-0.34375,-0.28125,-0.84375,-0.375,-0.28125,-0.78125,-0.34375,-0.3125,-0.78125,-0.375,bedroom,bedroom,lying
2017-08-01 15:13:27.971000,-81,-0.3125,-0.78125,-0.375,-0.3125,-0.78125,-0.3125,-0.1875,-0.8125,-0.34375,-0.15625,-0.75,-0.375,-0.1875,-0.625,-0.3125,custom,bedroom,lying
2017-08-01 15:13:27.975800,-80,-0.3125,-0.78125,-0.375,-0.3125,-0.78125,-0.3125,-0.1875,-0.8125,-0.34375,-0.15625,-0.75,-0.375,-0.1875,-0.625,-0.3125,living,bedroom,lying
2017-08-01 15:13:28.169200,-83,-0.1875,-0.5625,-0.21875,-0.21875,-0.5,-0.09375,-0.34375,-0.46875,0.25,-0.46875,-0.4375,0.53125,-0.5625,-0.21875,0.65625,custom,bedroom,lying
2017-08-01 15:13:28.207700,-72,-0.1875,-0.5625,-0.21875,-0.21875,-0.5,-0.09375,-0.34375,-0.46875,0.25,-0.46875,-0.4375,0.53125,-0.5625,-0.21875,0.65625,bedroom,bedroom,lying
2017-08-01 15:13:28.381300,-83,-0.8125,0.0,1.03125,-1.625,-0.125,1.375,-0.6875,-0.15625,1.21875,0.125,0.21875,1.1875,-0.375,0.28125,1.0625,living,bedroom,lying
2017-08-01 15:13:28.410100,-90,-0.8125,0.0,1.03125,-1.625,-0.125,1.375,-0.6875,-0.15625,1.21875,0.125,0.21875,1.1875,-0.375,0.28125,1.0625,bedroom,bedroom,lying
2017-08-01 15:13:28.619100,-85,-0.46875,0.40625,1.28125,-0.3125,0.03125,1.125,-0.21875,-0.15625,1.0,-0.1875,0.0,0.9375,-0.21875,-0.15625,0.8125,bedroom,bedroom,lying
2017-08-01 15:13:28.798300,-96,-0.0625,-0.1875,0.78125,-0.03125,-0.125,0.65625,0.0,-0.1875,0.6875,0.0,-0.1875,0.75,-0.21875,-0.03125,1.15625,living,bedroom,lying
2017-08-01 15:13:28.827200,-80,-0.0625,-0.1875,0.78125,-0.03125,-0.125,0.65625,0.0,-0.1875,0.6875,0.0,-0.1875,0.75,-0.21875,-0.03125,1.15625,bedroom,bedroom,lying
2017-08-01 15:13:29.007400,-95,-0.5625,0.3125,1.71875,-0.25,0.125,1.3125,-0.0625,0.125,1.0,-0.0625,0.375,1.0,-0.15625,0.21875,1.0,living,bedroom,lying
2017-08-01 15:13:29.212600,-78,-0.15625,0.09375,0.96875,-0.15625,0.03125,0.9375,-0.125,0.09375,0.96875,-0.125,0.09375,1.03125,-0.125,0.1875,1.03125,living,bedroom,lying
2017-08-01 15:13:29.408400,-81,-0.09375,0.1875,1.03125,-0.03125,0.15625,1.0,-0.03125,0.125,1.03125,0.03125,-0.03125,1.09375,-0.0625,-0.15625,0.96875,custom,bedroom,lying
2017-08-01 15:13:29.445200,-67,-0.09375,0.1875,1.03125,-0.03125,0.15625,1.0,-0.03125,0.125,1.03125,0.03125,-0.03125,1.09375,-0.0625,-0.15625,0.96875,bedroom,bedroom,lying
2017-08-01 15:13:29.612200,-74,0.0,-0.09375,1.03125,-0.03125,-0.0625,0.90625,0.03125,-0.03125,0.9375,-0.03125,-0.15625,1.0,-0.03125,-0.21875,1.0625,custom,bedroom,lying
2017-08-01 15:13:29.621400,-84,0.0,-0.09375,1.03125,-0.03125,-0.0625,0.90625,0.03125,-0.03125,0.9375,-0.03125,-0.15625,1.0,-0.03125,-0.21875,1.0625,living,bedroom,lying
2017-08-01 15:13:29.650800,-67,0.0,-0.09375,1.03125,-0.03125,-0.0625,0.90625,0.03125,-0.03125,0.9375,-0.03125,-0.15625,1.0,-0.03125,-0.21875,1.0625,bedroom,bedroom,lying
2017-08-01 15:13:29.821300,-81,-0.03125,-0.3125,1.0,-0.0625,-0.09375,1.09375,-0.0625,0.375,1.125,-0.03125,0.40625,0.96875,-0.0625,0.5,0.84375,living,bedroom,lying
2017-08-01 15:13:29.850000,-69,-0.03125,-0.3125,1.0,-0.0625,-0.09375,1.09375,-0.0625,0.375,1.125,-0.03125,0.40625,0.96875,-0.0625,0.5,0.84375,bedroom,bedroom,lying
2017-08-01 15:13:30.026300,-94,-0.125,0.5,0.8125,-0.09375,0.5625,0.875,-0.0625,0.375,0.96875,-0.0625,0.21875,1.0,-0.0625,0.1875,1.0,living,bedroom,lying
2017-08-01 15:13:30.235100,-78,-0.09375,0.1875,0.96875,-0.09375,0.28125,0.96875,-0.09375,0.3125,0.96875,-0.0625,0.34375,0.96875,-0.09375,0.3125,0.96875,living,bedroom,lying
2017-08-01 15:13:30.431600,-92,-0.0625,0.28125,0.96875,-0.0625,0.28125,1.0,-0.09375,0.28125,0.96875,-0.0625,0.3125,0.96875,-0.09375,0.3125,0.96875,custom,bedroom,lying
2017-08-01 15:13:30.436800,-75,-0.0625,0.28125,0.96875,-0.0625,0.28125,1.0,-0.09375,0.28125,0.96875,-0.0625,0.3125,0.96875,-0.09375,0.3125,0.96875,living,bedroom,lying
2017-08-01 15:13:30.469700,-71,-0.0625,0.28125,0.96875,-0.0625,0.28125,1.0,-0.09375,0.28125,0.96875,-0.0625,0.3125,0.96875,-0.09375,0.3125,0.96875,bedroom,bedroom,lying
2017-08-01 15:13:30.638700,-78,-0.09375,0.3125,0.9375,-0.09375,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.0625,0.3125,0.96875,custom,bedroom,lying
2017-08-01 15:13:30.676800,-72,-0.09375,0.3125,0.9375,-0.09375,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.0625,0.3125,0.96875,bedroom,bedroom,lying
2017-08-01 15:13:30.873900,-70,-0.0625,0.34375,0.96875,-0.09375,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.0625,0.3125,0.96875,-0.0625,0.3125,0.96875,bedroom,bedroom,lying
2017-08-01 15:13:31.083200,-67,-0.0625,0.34375,0.96875,-0.09375,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.0625,0.3125,0.96875,-0.09375,0.3125,0.96875,bedroom,bedroom,lying
2017-08-01 15:13:31.256200,-80,-0.0625,0.3125,0.96875,-0.0625,0.3125,0.96875,-0.0625,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.09375,0.3125,0.96875,living,bedroom,lying
2017-08-01 15:13:31.449100,-92,-0.03125,0.3125,0.96875,-0.0625,0.3125,0.96875,-0.0625,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.0625,0.3125,0.96875,custom,bedroom,lying
2017-08-01 15:13:31.487200,-86,-0.03125,0.3125,0.96875,-0.0625,0.3125,0.96875,-0.0625,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.0625,0.3125,0.96875,bedroom,bedroom,lying
2017-08-01 15:13:31.654900,-73,-0.0625,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.0625,0.3125,0.96875,-0.09375,0.3125,0.96875,custom,bedroom,lying
2017-08-01 15:13:31.693600,-67,-0.0625,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.0625,0.3125,0.96875,-0.09375,0.3125,0.96875,bedroom,bedroom,lying
2017-08-01 15:13:31.864000,-78,-0.09375,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.0625,0.3125,0.96875,-0.0625,0.3125,0.96875,custom,bedroom,lying
2017-08-01 15:13:31.873500,-86,-0.09375,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.0625,0.3125,0.96875,-0.0625,0.3125,0.96875,living,bedroom,lying
2017-08-01 15:13:31.902400,-78,-0.09375,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.0625,0.3125,0.96875,-0.0625,0.3125,0.96875,bedroom,bedroom,lying
2017-08-01 15:13:32.069900,-87,-0.125,0.3125,0.9375,-0.09375,0.34375,0.96875,-0.0625,0.3125,0.96875,-0.09375,0.28125,0.96875,-0.09375,0.28125,0.96875,custom,bedroom,lying
2017-08-01 15:13:32.079100,-102,-0.125,0.3125,0.9375,-0.09375,0.34375,0.96875,-0.0625,0.3125,0.96875,-0.09375,0.28125,0.96875,-0.09375,0.28125,0.96875,living,bedroom,lying
2017-08-01 15:13:32.108600,-64,-0.125,0.3125,0.9375,-0.09375,0.34375,0.96875,-0.0625,0.3125,0.96875,-0.09375,0.28125,0.96875,-0.09375,0.28125,0.96875,bedroom,bedroom,lying
2017-08-01 15:13:32.282600,-94,-0.0625,0.3125,0.96875,-0.0625,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.0625,0.3125,0.96875,-0.0625,0.3125,0.96875,living,bedroom,lying
2017-08-01 15:13:32.311900,-66,-0.0625,0.3125,0.96875,-0.0625,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.0625,0.3125,0.96875,-0.0625,0.3125,0.96875,bedroom,bedroom,lying
2017-08-01 15:13:32.488800,-82,-0.0625,0.3125,0.96875,-0.09375,0.3125,0.9375,-0.0625,0.3125,0.96875,-0.09375,0.3125,0.96875,-0.0625,0.3125,0.96875,living,bedroom,lying
2017-08-01 15:13:32.696100,-95,-0.09375,0.28125,0.9375,-0.0625,0.3125,0.96875,-0.09375,0.34375,0.9375,-0.0625,0.25,0.96875,-0.0625,0.21875,1.0,living,bedroom,lying
2017-08-01 15:13:32.895000,-78,-0.0625,0.25,0.9375,-0.0625,0.28125,1.0,-0.0625,0.28125,0.96875,-0.0625,0.25,1.0,-0.0625,0.25,0.96875,custom,bedroom,lying
2017-08-01 15:13:32.898600,-76,-0.0625,0.25,0.9375,-0.0625,0.28125,1.0,-0.0625,0.28125,0.96875,-0.0625,0.25,1.0,-0.0625,0.25,0.96875,living,bedroom,lying
2017-08-01 15:13:32.931600,-75,-0.0625,0.25,0.9375,-0.0625,0.28125,1.0,-0.0625,0.28125,0.96875,-0.0625,0.25,1.0,-0.0625,0.25,0.96875,bedroom,bedroom,lying
2017-08-01 15:13:33.103200,-92,-0.0625,0.25,0.96875,-0.0625,0.25,1.0,-0.0625,0.25,0.96875,-0.0625,0.25,1.0,-0.0625,0.28125,1.0,custom,bedroom,lying
2017-08-01 15:13:33.108500,-76,-0.0625,0.25,0.96875,-0.0625,0.25,1.0,-0.0625,0.25,0.96875,-0.0625,0.25,1.0,-0.0625,0.28125,1.0,living,bedroom,lying
2017-08-01 15:13:33.141200,-71,-0.0625,0.25,0.96875,-0.0625,0.25,1.0,-0.0625,0.25,0.96875,-0.0625,0.25,1.0,-0.0625,0.28125,1.0,bedroom,bedroom,lying
2017-08-01 15:13:33.310000,-81,-0.03125,0.1875,0.9375,-0.0625,0.28125,1.03125,-0.0625,0.25,1.0,-0.0625,0.28125,0.96875,-0.0625,0.25,1.0,custom,bedroom,lying
2017-08-01 15:13:33.315300,-76,-0.03125,0.1875,0.9375,-0.0625,0.28125,1.03125,-0.0625,0.25,1.0,-0.0625,0.28125,0.96875,-0.0625,0.25,1.0,living,bedroom,lying
2017-08-01 15:13:33.348200,-72,-0.03125,0.1875,0.9375,-0.0625,0.28125,1.03125,-0.0625,0.25,1.0,-0.0625,0.28125,0.96875,-0.0625,0.25,1.0,bedroom,bedroom,lying
2017-08-01 15:13:33.516000,-76,-0.0625,0.21875,1.0,-0.03125,0.25,1.0,-0.0625,0.25,0.96875,-0.0625,0.21875,1.0,-0.0625,0.1875,1.0,custom,bedroom,lying
2017-08-01 15:13:33.554600,-78,-0.0625,0.21875,1.0,-0.03125,0.25,1.0,-0.0625,0.25,0.96875,-0.0625,0.21875,1.0,-0.0625,0.1875,1.0,bedroom,bedroom,lying
2017-08-01 15:13:33.722000,-87,-0.0625,0.21875,1.03125,-0.0625,0.21875,0.96875,-0.0625,0.21875,0.96875,-0.03125,0.25,1.0,-0.03125,0.25,1.0,custom,bedroom,lying
